customer_id,customer_name,registration_date,customer_name_kana,email,gender,age,birth,pref
AS288339,佐藤 倫子,2019-01-04 09:34:04,さとう のりこ,satou_noriko@example.com,F,23,1996/7/13,埼玉県
GD691243,中園 俊二,2019-01-04 10:37:06,なかぞの しゅんじ,nakazono_shunji@example.com,M,48,1970/11/20,東京都
GD762671,海野 恵望子,2019-01-04 11:16:14,うみの えみこ,umino_emiko@example.com,F,37,1981/10/7,栃木県
HD565792,中原 有海,2019-01-04 12:38:09,なかはら あみ,nakahara_ami@example.com,F,74,1944/11/10,神奈川県
HI400734,宍戸 明,2019-01-04 13:24:40,ししど あきら,shishido_akira@example.com,M,64,1955/1/13,福井県
AS502510,児島 陽子,2019-01-04 14:38:00,こじま ようこ,kojima_youko@example.com,F,71,1947/10/27,東京都
AS230629,野島 進,2019-01-04 16:19:18,のじま すすむ,nojima_susumu@example.com,M,55,1963/9/1,兵庫県
PL659352,大下 了,2019-01-04 17:49:45,おおした りょう,ooshita_ryou@example.com,M,50,1968/12/14,長崎県
OA545809,石崎 浩太郎,2019-01-04 19:28:18,いしざき こうたろう,ishizaki_koutarou@example.com,M,30,1989/1/10,徳島県
HD251544,小泉 幸子,2019-01-04 19:34:20,こいずみ さちこ,koizumi_sachiko@example.com,F,59,1960/2/1,東京都
TS671691,黄川田 博之,2019-01-04 19:59:20,きかわだ ひろゆき,kikawada_hiroyuki@example.com,M,64,1954/9/15,東京都
PL556767,喜多 慶二,2019-01-04 20:03:47,きた けいじ,kita_keiji@example.com,M,32,1987/2/21,愛知県
HI792024,山上 丈雄,2019-01-04 22:27:30,やまがみ たけお,yamagami_takeo@example.com,M,46,1973/7/11,愛媛県
HD809345,下山 莉緒,2019-01-04 22:37:46,しもやま りお,shimoyama_rio@example.com,F,51,1967/10/4,大分県
HD523310,宮崎 明日,2019-01-04 22:49:50,みやざき めいび,miyazaki_meibi@example.com,F,73,1946/4/7,大阪府
GD434239,田沢 幸子,2019-01-04 22:59:18,たざわ さちこ,tazawa_sachiko@example.com,F,79,1939/9/12,福島県
HI067846,柳 洋,2019-01-05 01:57:06,やなぎ よう,yanagi_you@example.com,M,33,1986/3/10,宮城県
PL144435,稲垣 隆,2019-01-05 02:48:42,いながき たかし,inagaki_takashi@example.com,M,65,1953/8/17,大阪府
TS707101,那須 寿明,2019-01-05 03:45:08,なす としあき,nasu_toshiaki@example.com,M,35,1984/1/28,福岡県
IK429683,西村 信輔,2019-01-05 03:52:19,にしむら しんすけ,nishimura_shinsuke@example.com,M,29,1989/10/7,長野県
PL573838,大西 美幸,2019-01-05 04:27:19,おおにし みゆき,oonishi_miyuki@example.com,F,53,1965/9/29,北海道
TS893503,上杉 瞳,2019-01-05 04:36:22,うえすぎ ひとみ,uesugi_hitomi@example.com,F,30,1988/12/19,神奈川県
TS179365,明石家 利夫,2019-01-05 04:49:04,あかしや としお,akashiya_toshio@example.com,M,33,1985/11/14,東京都
PL417753,尾崎 勤,2019-01-05 10:14:25,おざき つとむ,ozaki_tsutomu@example.com,M,64,1955/6/15,熊本県
PL964421,古沢 徹,2019-01-05 11:38:34,ふるさわ とおる,furusawa_tohru@example.com,M,29,1990/5/9,熊本県
HI484575,八田 浩太郎,2019-01-05 12:39:04,やつだ こうたろう,yatsuda_koutarou@example.com,M,74,1945/5/7,広島県
GD903830,安藤 さやか,2019-01-05 12:39:22,あんどう さやか,anndou_sayaka@example.com,F,53,1966/2/6,大阪府
PL683089,香川 美紀,2019-01-05 14:06:51,かがわ みき,kagawa_miki@example.com,F,28,1991/6/14,茨城県
